# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
198,99.0,21.4396,111.1772,-7.8217,49.3844,103.8747,93.2468,42.0455,111.9405
199,99.5,21.3961,111.4215,-8.2524,49.3143,103.4773,93.0919,41.6623,111.8325
200,100.0,21.3535,111.6664,-8.6824,49.2404,103.0798,92.9349,41.2787,111.7215
201,100.5,21.3118,111.9118,-9.1118,49.1627,102.6822,92.776,40.8948,111.6075
202,101.0,21.2711,112.1576,-9.5404,49.0814,102.2845,92.615,40.5105,111.4905
203,101.5,21.2312,112.4038,-9.9684,48.9962,101.8868,92.4521,40.126,111.3705
204,102.0,21.1922,112.6505,-10.3956,48.9074,101.4892,92.2871,39.7412,111.2476
205,102.5,21.1542,112.8975,-10.822,48.8148,101.0916,92.1202,39.3562,111.1217
206,103.0,21.117,113.145,-11.2476,48.7185,100.6941,91.9513,38.971,110.9928
207,103.5,21.0807,113.3928,-11.6723,48.6185,100.2967,91.7804,38.5857,110.861
208,104.0,21.0453,113.641,-12.0961,48.5148,99.8995,91.6076,38.2003,110.7263
209,104.5,21.0109,113.8896,-12.519,48.4074,99.5025,91.4328,37.8148,110.5886
210,105.0,20.9773,114.1384,-12.941,48.2963,99.1057,91.256,37.4293,110.448
211,105.5,20.9446,114.3876,-13.3619,48.1815,98.7093,91.0773,37.0438,110.3045
212,106.0,20.9128,114.6371,-13.7819,48.0631,98.3131,90.8967,36.6583,110.1581
213,106.5,20.8819,114.8868,-14.2008,47.941,97.9173,90.7141,36.2729,110.0087
214,107.0,20.8519,115.1368,-14.6186,47.8152,97.5219,90.5296,35.8876,109.8565
215,107.5,20.8227,115.3871,-15.0353,47.6858,97.1269,90.3432,35.5024,109.7015
216,108.0,20.7945,115.6376,-15.4508,47.5528,96.7323,90.1549,35.1174,109.5435
217,108.5,20.7672,115.8883,-15.8652,47.4162,96.3383,89.9647,34.7326,109.3828
218,109.0,20.7407,116.1392,-16.2784,47.2759,95.9447,89.7727,34.3481,109.2191
219,109.5,20.7152,116.3903,-16.6903,47.1321,95.5517,89.5787,33.9638,109.0527
220,110.0,20.6905,116.6415,-17.101,46.9846,95.1593,89.383,33.5797,108.8834
221,110.5,20.6667,116.8929,-17.5104,46.8336,94.7675,89.1853,33.1961,108.7114
222,111.0,20.6438,117.1445,-17.9184,46.679,94.3764,88.9859,32.8128,108.5365
223,111.5,20.6218,117.3961,-18.3251,46.5209,93.986,88.7846,32.4298,108.3589
224,112.0,20.6007,117.6479,-18.7303,46.3592,93.5963,88.5816,32.0473,108.1785
225,112.5,20.5805,117.8998,-19.1342,46.194,93.2073,88.3767,31.6653,107.9954
226,113.0,20.5612,118.1517,-19.5366,46.0252,92.8192,88.1701,31.2838,107.8095
227,113.5,20.5428,118.4038,-19.9375,45.853,92.4318,87.9617,30.9027,107.6209
228,114.0,20.5252,118.6558,-20.3368,45.6773,92.0453,87.7516,30.5222,107.4296
229,114.5,20.5086,118.9079,-20.7347,45.4981,91.6597,87.5398,30.1423,107.2357
230,115.0,20.4929,119.16,-21.1309,45.3154,91.275,87.3262,29.763,107.039
231,115.5,20.478,119.4121,-21.5256,45.1293,90.8912,87.111,29.3844,106.8397
232,116.0,20.4641,119.6642,-21.9186,44.9397,90.5084,86.8941,29.0064,106.6377
233,116.5,20.451,119.9162,-22.3099,44.7467,90.1266,86.6755,28.6291,106.4332
234,117.0,20.4389,120.1683,-22.6995,44.5503,89.7459,86.4553,28.2525,106.226
235,117.5,20.4277,120.4202,-23.0874,44.3505,89.3662,86.2335,27.8767,106.0162
236,118.0,20.4173,120.6721,-23.4736,44.1474,88.9876,86.0101,27.5017,105.8039
237,118.5,20.4079,120.9239,-23.8579,43.9409,88.6101,85.7851,27.1274,105.589
238,119.0,20.3994,121.1756,-24.2405,43.731,88.2338,85.5585,26.7541,105.3715
239,119.5,20.3918,121.4271,-24.6212,43.5178,87.8586,85.3304,26.3815,105.1516
240,120.0,20.3852,121.6786,-25.0,43.3013,87.4847,85.1008,26.0099,104.9291
241,120.5,20.3794,121.9298,-25.3769,43.0815,87.112,84.8696,25.6392,104.7042
242,121.0,20.3745,122.1809,-25.7519,42.8584,86.7405,84.637,25.2694,104.4768
243,121.5,20.3706,122.4319,-26.1249,42.632,86.3703,84.403,24.9006,104.2469
244,122.0,20.3676,122.6826,-26.496,42.4024,86.0015,84.1675,24.5328,104.0146
245,122.5,20.3655,122.9331,-26.865,42.1696,85.634,83.9306,24.166,103.7799
246,123.0,20.3644,123.1834,-27.232,41.9335,85.2679,83.6923,23.8003,103.5429
247,123.5,20.3642,123.4335,-27.5968,41.6943,84.9031,83.4526,23.4356,103.3034
248,124.0,20.3649,123.6833,-27.9596,41.4519,84.5398,83.2116,23.072,103.0617
249,124.5,20.3665,123.9328,-28.3203,41.2063,84.1779,82.9693,22.7096,102.8176
250,125.0,20.3691,124.1821,-28.6788,40.9576,83.8175,82.7256,22.3483,102.5712
251,125.5,20.3727,124.431,-29.0351,40.7058,83.4586,82.4808,21.9882,102.3225
252,126.0,20.3771,124.6796,-29.3893,40.4508,83.1013,82.2346,21.6292,102.0716
253,126.5,20.3826,124.9279,-29.7411,40.1928,82.7454,81.9873,21.2715,101.8184
254,127.0,20.389,125.1759,-30.0908,39.9318,82.3912,81.7387,20.9151,101.563
255,127.5,20.3963,125.4235,-30.4381,39.6677,82.0385,81.489,20.5598,101.3054
256,128.0,20.4046,125.6707,-30.7831,39.4005,81.6874,81.2382,20.2059,101.0457
257,128.5,20.4138,125.9175,-31.1257,39.1304,81.338,80.9862,19.8533,100.7838
258,129.0,20.4241,126.1639,-31.466,38.8573,80.9902,80.7332,19.502,100.5198
