step,crank_angle_deg,coupler_x,coupler_y,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y
273,136.5,-201.1285,78.4136,-72.5374,68.8355,-152.51,66.7413
274,137.0,-201.8051,76.6554,-73.1354,68.1998,-153.0866,65.4079
275,137.5,-202.4664,74.8915,-73.7277,67.559,-153.6516,64.0695
276,138.0,-203.1122,73.1218,-74.3145,66.9131,-154.2048,62.7262
277,138.5,-203.7426,71.3465,-74.8956,66.262,-154.7464,61.3781
278,139.0,-204.3574,69.5658,-75.471,65.6059,-155.2761,60.0254
279,139.5,-204.9567,67.7799,-76.0406,64.9448,-155.794,58.6681
280,140.0,-205.5404,65.9887,-76.6044,64.2788,-156.3,57.3063
281,140.5,-206.1084,64.1925,-77.1625,63.6078,-156.7942,55.9402
282,141.0,-206.6608,62.3915,-77.7146,62.932,-157.2763,54.5698
283,141.5,-207.1974,60.5857,-78.2608,62.2515,-157.7466,53.1952
284,142.0,-207.7182,58.7753,-78.8011,61.5661,-158.2048,51.8166
285,142.5,-208.2232,56.9604,-79.3353,60.8761,-158.6509,50.434
286,143.0,-208.7123,55.1411,-79.8636,60.1815,-159.085,49.0477
287,143.5,-209.1855,53.3177,-80.3857,59.4823,-159.507,47.6575
288,144.0,-209.6429,51.4902,-80.9017,58.7785,-159.9168,46.2638
289,144.5,-210.0842,49.6588,-81.4116,58.0703,-160.3144,44.8665
290,145.0,-210.5096,47.8236,-81.9152,57.3576,-160.6998,43.4658
291,145.5,-210.9189,45.9847,-82.4126,56.6406,-161.073,42.0618
292,146.0,-211.3121,44.1424,-82.9038,55.9193,-161.4339,40.6546
293,146.5,-211.6893,42.2967,-83.3886,55.1937,-161.7826,39.2443
294,147.0,-212.0503,40.4478,-83.8671,54.4639,-162.1189,37.831
295,147.5,-212.3952,38.5958,-84.3391,53.73,-162.4428,36.4148
296,148.0,-212.724,36.7408,-84.8048,52.9919,-162.7544,34.9958
297,148.5,-213.0365,34.8831,-85.264,52.2499,-163.0536,33.5742
298,149.0,-213.3328,33.0227,-85.7167,51.5038,-163.3404,32.1501
299,149.5,-213.6128,31.1598,-86.1629,50.7538,-163.6147,30.7234
300,150.0,-213.8766,29.2945,-86.6025,50.0,-163.8766,29.2945
301,150.5,-214.1241,27.427,-87.0356,49.2424,-164.126,27.8633
302,151.0,-214.3553,25.5574,-87.462,48.481,-164.3629,26.43
303,151.5,-214.5702,23.6858,-87.8817,47.7159,-164.5873,24.9946
304,152.0,-214.7687,21.8124,-88.2948,46.9472,-164.7991,23.5574
305,152.5,-214.9509,19.9374,-88.7011,46.1749,-164.9984,22.1184
306,153.0,-215.1167,18.0609,-89.1007,45.399,-165.1852,20.6777
307,153.5,-215.2661,16.183,-89.4934,44.6198,-165.3593,19.2354
308,154.0,-215.3991,14.3038,-89.8794,43.8371,-165.5209,17.7917
309,154.5,-215.5157,12.4236,-90.2585,43.0511,-165.6698,16.3466
310,155.0,-215.6159,10.5424,-90.6308,42.2618,-165.8062,14.9002
311,155.5,-215.6997,8.6604,-90.9961,41.4693,-165.9299,13.4527
312,156.0,-215.7671,6.7778,-91.3545,40.6737,-166.041,12.0042
313,156.5,-215.818,4.8946,-91.706,39.8749,-166.1394,10.5548
314,157.0,-215.8525,3.0111,-92.0505,39.0731,-166.2252,9.1046
315,157.5,-215.8706,1.1274,-92.388,38.2683,-166.2983,7.6537
316,158.0,-215.8722,-0.7565,-92.7184,37.4607,-166.3588,6.2022
317,158.5,-215.8574,-2.6403,-93.0418,36.6501,-166.4066,4.7502
318,159.0,-215.8261,-4.5239,-93.358,35.8368,-166.4417,3.2979
319,159.5,-215.7784,-6.4071,-93.6672,35.0207,-166.4641,1.8453
320,160.0,-215.7143,-8.2899,-93.9693,34.202,-166.4739,0.3926
321,160.5,-215.6337,-10.172,-94.2641,33.3807,-166.471,-1.0602
322,161.0,-215.5367,-12.0533,-94.5519,32.5568,-166.4554,-2.5129
323,161.5,-215.4233,-13.9338,-94.8324,31.7305,-166.4271,-3.9654
324,162.0,-215.2936,-15.8131,-95.1057,30.9017,-166.3862,-5.4175
325,162.5,-215.1474,-17.6913,-95.3717,30.0706,-166.3326,-6.8693
326,163.0,-214.9848,-19.5681,-95.6305,29.2372,-166.2663,-8.3206
327,163.5,-214.8058,-21.4434,-95.882,28.4015,-166.1873,-9.7712
328,164.0,-214.6105,-23.3171,-96.1262,27.5637,-166.0957,-11.221
329,164.5,-214.3989,-25.189,-96.363,26.7238,-165.9915,-12.67
330,165.0,-214.1709,-27.059,-96.5926,25.8819,-165.8746,-14.1181
331,165.5,-213.9266,-28.927,-96.8148,25.038,-165.7451,-15.5651
332,166.0,-213.666,-30.7927,-97.0296,24.1922,-165.603,-17.0109
333,166.5,-213.3892,-32.6561,-97.237,23.3445,-165.4482,-18.4553
334,167.0,-213.0961,-34.517,-97.437,22.4951,-165.2809,-19.8984
335,167.5,-212.7868,-36.3753,-97.6296,21.644,-165.1009,-21.34
336,168.0,-212.4612,-38.2308,-97.8148,20.7912,-164.9084,-22.78
337,168.5,-212.1195,-40.0834,-97.9925,19.9368,-164.7033,-24.2182
338,169.0,-211.7617,-41.9329,-98.1627,19.0809,-164.4857,-25.6545
339,169.5,-211.3877,-43.7793,-98.3255,18.2236,-164.2556,-27.0889
340,170.0,-210.9976,-45.6223,-98.4808,17.3648,-164.0129,-28.5213
341,170.5,-210.5914,-47.4618,-98.6286,16.5048,-163.7578,-29.9515
